Time:2,End Time,Feature 1,Feature 2,Event Id,Event Date,Event Duration
9.9218750000,10.4218750000,0.0971071211,0.0716940026,,,
10.0214843750,10.5214843750,0.1183281144,0.0488930876,,,
10.1210937500,10.6210937500,0.1523649499,0.0269360159,,,
10.2207031250,10.7207031250,0.1594734393,0.0219184812,,,
10.3203125000,10.8203125000,0.1446255041,0.0329114167,,,
10.4199218750,10.9199218750,0.1029115079,0.0514923210,,,
10.5195312500,11.0195312500,0.0638685566,0.0694883309,,,
10.6191406250,11.1191406250,0.0275514633,0.0910506765,,,
10.7187500000,11.2187500000,0.0219172332,0.1098340479,,,
10.8183593750,11.3183593750,0.0339625024,0.1197803060,,,
10.9179687500,11.4179687500,0.0412791610,0.1258625936,,,
11.0175781250,11.5175781250,0.0420145994,0.1273328225,,,
11.1171875000,11.6171875000,0.0398028405,0.1240602766,,,
11.2167968750,11.7167968750,0.0451533414,0.1056431022,,,
11.3164062500,11.8164062500,0.0517617902,0.0857829721,,,
11.4160156250,11.9160156250,0.0537427688,0.0616737574,,,
11.5156250000,12.0156250000,0.0607081999,0.0461035087,,,
11.6152343750,12.1152343750,0.0959723732,0.0295766862,,,
11.7148437500,12.2148437500,0.1234872561,0.0260519655,,,
11.8144531250,12.3144531250,0.1374042608,0.0280876594,,,
11.9140625000,12.4140625000,0.1356592075,0.0331340940,,,
12.0136718750,12.5136718750,0.1363553358,0.0336055824,,,
12.1132812500,12.6132812500,0.1401842995,0.0310769474,,,
12.2128906250,12.7128906250,0.1922239201,0.0260667094,,,
12.3125000000,12.8125000000,0.2384186915,0.0201240796,,,
12.4121093750,12.9121093750,0.2848349444,0.0123492601,,,
12.5117187500,13.0117187500,0.2899822660,0.0084482954,,,
12.6113281250,13.1113281250,0.2612369656,0.0104236479,,,
12.7109375000,13.2109375000,0.1870971710,0.0236204309,,,
12.8105468750,13.3105468750,0.1202625906,0.0557432501,,,
12.9101562500,13.4101562500,0.0685094972,0.1105374621,,,
13.0097656250,13.5097656250,0.0618066545,0.1473048670,,,
13.1093750000,13.6093750000,0.0771691558,0.1663759166,,,
13.2089843750,13.7089843750,0.0840654025,0.1592286766,,,
13.3085937500,13.8085937500,0.0933808744,0.1322050939,,,
13.4082031250,13.9082031250,0.1181779266,0.0794866871,,,
13.5078125000,14.0078125000,0.1633726535,0.0385594857,,,
13.6074218750,14.1074218750,0.2088168141,0.0124316705,,,
13.7070312500,14.2070312500,0.2939942513,0.0087751972,,,
13.8066406250,14.3066406250,0.3861792434,0.0224763733,,,
13.9062500000,14.4062500000,0.4689251613,0.0536480836,,,
14.0058593750,14.5058593750,0.5318555225,0.0904612661,,,
14.1054687500,14.6054687500,0.5370309348,0.1167845800,,,
14.2050781250,14.7050781250,0.4856888849,0.1370474089,,,
14.3046875000,14.8046875000,0.3840241738,0.1393562211,,,
14.4042968750,14.9042968750,0.2762110552,0.1341908859,,,
14.5039062500,15.0039062500,0.1726766642,0.1156501960,,,
14.6035156250,15.1035156250,0.1371120660,0.1055009722,,,
14.7031250000,15.2031250000,0.1383839239,0.0980050181,,,
14.8027343750,15.3027343750,0.1599379944,0.1059093122,,,
14.9023437500,15.4023437500,0.1777849818,0.1269552161,,,
15.0019531250,15.5019531250,0.1541099952,0.1651328815,,,
15.1015625000,15.6015625000,0.1217298222,0.1898196924,,,
15.2011718750,15.7011718750,0.0906494662,0.2051921420,,,
15.3007812500,15.8007812500,0.0896650527,0.1937050433,,,
15.4003906250,15.9003906250,0.0851101624,0.1583091517,,,
15.5000000000,16.0000000000,0.0976648900,0.1062993475,,,
15.5996093750,16.0996093750,0.1245971172,0.0830679440,,,
15.6992187500,16.1992187500,0.1813132712,0.0713179957,,,
15.7988281250,16.2988281250,0.2319058953,0.0791193849,,,
15.8984375000,16.3984375000,0.2987404414,0.0815697109,,,
15.9980468750,16.4980468750,0.3282137132,0.0761509738,,,
16.0976562500,16.5976562500,0.3521248695,0.0654777830,,,
16.1972656250,16.6972656250,0.3304958701,0.0855707564,,,
16.2968750000,16.7968750000,0.3127990331,0.1225692874,,,
16.3964843750,16.8964843750,0.2996910868,0.1620352998,,,
21.9218750000,22.4218750000,0.0414509227,0.0824346013,,,
22.0214843750,22.5214843750,0.0582773847,0.0565954271,,,
22.1210937500,22.6210937500,0.0901697477,0.0382710898,,,
22.2207031250,22.7207031250,0.1289900683,0.0404555535,,,
22.3203125000,22.8203125000,0.1632308909,0.0596540152,,,
22.4199218750,22.9199218750,0.1816983703,0.0921661201,,,
22.5195312500,23.0195312500,0.1670893783,0.1360949041,,,
22.6191406250,23.1191406250,0.1323694328,0.1927262456,,,
22.7187500000,23.2187500000,0.0870413469,0.2409877633,,,
22.8183593750,23.3183593750,0.0507037766,0.2608339950,,,
22.9179687500,23.4179687500,0.0332465525,0.2563212376,,,
23.0175781250,23.5175781250,0.0635131988,0.2265345400,,,
23.1171875000,23.6171875000,0.1446801543,0.1964779907,,,
23.2167968750,23.7167968750,0.2564748704,0.1719716048,,,
23.3164062500,23.8164062500,0.3392185407,0.1740062744,,,
23.4160156250,23.9160156250,0.4037944616,0.2140486804,,,
23.5156250000,24.0156250000,0.4500089620,0.2506320415,,,
23.6152343750,24.1152343750,0.4336662556,0.2542856638,,,
23.7148437500,24.2148437500,0.3590416281,0.2452202707,,,
23.8144531250,24.3144531250,0.2764136555,0.2250166585,,,
23.9140625000,24.4140625000,0.2178573707,0.1769931617,,,
24.0136718750,24.5136718750,0.2083610605,0.1356723724,,,
24.1132812500,24.6132812500,0.2773401769,0.1054808989,,,
24.2128906250,24.7128906250,0.3315350126,0.0715390106,,,
24.3125000000,24.8125000000,0.3757969994,0.0423845578,,,
24.4121093750,24.9121093750,0.3867866575,0.0253304663,,,
24.5117187500,25.0117187500,0.3511195190,0.0090127124,,,
24.6113281250,25.1113281250,0.2624915411,0.0042191387,,,
24.7109375000,25.2109375000,0.2039490643,0.0148432590,,,
24.8105468750,25.3105468750,0.1574781915,0.0415991459,,,
24.9101562500,25.4101562500,0.1144427382,0.0612790994,,,
25.0097656250,25.5097656250,0.0818238157,0.0714642676,,,
25.1093750000,25.6093750000,0.0746790655,0.0714757424,,,
25.2089843750,25.7089843750,0.1010619697,0.0750775493,,,
25.3085937500,25.8085937500,0.1537662335,0.0680829368,,,
25.4082031250,25.9082031250,0.1914650700,0.0646882939,,,
25.5078125000,26.0078125000,0.2024046110,0.0709885322,,,
25.6074218750,26.1074218750,0.1928285629,0.0799493852,,,
25.7070312500,26.2070312500,0.1981031583,0.0716389823,,,
25.8066406250,26.3066406250,0.2002065431,0.0526149693,,,
25.9062500000,26.4062500000,0.2143868056,0.0370449166,,,
26.0058593750,26.5058593750,0.2288599099,0.0213220911,,,
26.1054687500,26.6054687500,0.2241168890,0.0133453407,,,
26.2050781250,26.7050781250,0.1769449928,0.0131194682,,,
26.3046875000,26.8046875000,0.1099282753,0.0192661905,,,
26.4042968750,26.9042968750,0.0640805505,0.0238797014,,,
