Time:2,End Time,Feature 1,Feature 2,Event Id,Event Date,Event Duration
21.9218750000,22.4218750000,0.0808738013,0.2502516235,,,
22.0214843750,22.5214843750,0.0582948143,0.3691143720,,,
22.1210937500,22.6210937500,0.0394084282,0.5155500043,,,
22.2207031250,22.7207031250,0.0394233528,0.6682145253,,,
22.3203125000,22.8203125000,0.0612122253,0.8057800652,,,
22.4199218750,22.9199218750,0.0900449033,0.9288861540,,,
22.5195312500,23.0195312500,0.1070058066,1.0498406420,,,
22.6191406250,23.1191406250,0.1056645866,1.1722645898,,,
22.7187500000,23.2187500000,0.0887186491,1.2977123618,,,
22.8183593750,23.3183593750,0.0636479253,1.4228267486,,,
22.9179687500,23.4179687500,0.0392471530,1.5315445257,,,
23.0175781250,23.5175781250,0.0249017205,1.6085857960,,,
23.1171875000,23.6171875000,0.0207006059,1.6423332295,,,
23.2167968750,23.7167968750,0.0199492389,1.6327339537,,,
23.3164062500,23.8164062500,0.0189701583,1.5899558721,,,
23.4160156250,23.9160156250,0.0221310663,1.5302719214,,,
23.5156250000,24.0156250000,0.0312302434,1.4738207241,,,
23.6152343750,24.1152343750,0.0422185547,1.4428832784,,,
23.7148437500,24.2148437500,0.0494243839,1.4381982672,,,
23.8144531250,24.3144531250,0.0487714881,1.4362933003,,,
23.9140625000,24.4140625000,0.0409487877,1.4203943982,,,
24.0136718750,24.5136718750,0.0321162453,1.3854231591,,,
24.1132812500,24.6132812500,0.0295535924,1.3419570661,,,
24.2128906250,24.7128906250,0.0327651596,1.3181365113,,,
24.3125000000,24.8125000000,0.0372931658,1.3435866376,,,
24.4121093750,24.9121093750,0.0394164230,1.4164753616,,,
24.5117187500,25.0117187500,0.0361820656,1.5095068236,,,
24.6113281250,25.1113281250,0.0266977924,1.5902245350,,,
24.7109375000,25.2109375000,0.0174953691,1.6345814899,,,
24.8105468750,25.3105468750,0.0146068699,1.6315866473,,,
24.9101562500,25.4101562500,0.0182895492,1.5803059321,,,
25.0097656250,25.5097656250,0.0306396491,1.4816726855,,,
25.1093750000,25.6093750000,0.0505347374,1.3395428243,,,
25.2089843750,25.7089843750,0.0670934343,1.1650276469,,,
25.3085937500,25.8085937500,0.0741262524,0.9857464148,,,
25.4082031250,25.9082031250,0.0758917721,0.8507079025,,,
25.5078125000,26.0078125000,0.0712108511,0.8044197925,,,
25.6074218750,26.1074218750,0.0623481544,0.8447965171,,,
25.7070312500,26.2070312500,0.0684173811,0.9335340697,,,
25.8066406250,26.3066406250,0.0988952485,1.0209982959,,,
25.9062500000,26.4062500000,0.1347243989,1.0747029799,,,
26.0058593750,26.5058593750,0.1596521953,1.0897005348,,,
26.1054687500,26.6054687500,0.1646358838,1.0699389822,,,
26.2050781250,26.7050781250,0.1445635364,1.0146255486,,,
26.3046875000,26.8046875000,0.1059642695,0.9299333178,,,
26.4042968750,26.9042968750,0.0649707004,0.8220277781,,,
26.5039062500,27.0039062500,0.0313309239,0.6987568866,,,
26.6035156250,27.1035156250,0.0156794381,0.5875870434,,,
26.7031250000,27.2031250000,0.0309904315,0.5381016269,,,
26.8027343750,27.3027343750,0.0770123118,0.5794473451,,,
26.9023437500,27.4023437500,0.1368634235,0.6922790310,,,
27.0019531250,27.5019531250,0.1878166165,0.8250223858,,,
27.1015625000,27.6015625000,0.2166349457,0.9322078668,,,
