Time:6,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Event Id,Event Date,Event Duration
9.9218750000,10.4218750000,0.1506495996,0.0252438212,0.0202294970,0.0076483279,0.0504882007,0.1311643313,,,
10.0214843750,10.5214843750,0.2313733985,0.0352142389,0.0254799526,0.0103962600,0.0590128802,0.1139926601,,,
10.1210937500,10.6210937500,0.3121197327,0.0396677132,0.0288976328,0.0158612327,0.0839392224,0.1479150542,,,
10.2207031250,10.7207031250,0.3963158375,0.0382608731,0.0296785598,0.0244978684,0.1134043227,0.2024253405,,,
10.3203125000,10.8203125000,0.4751855701,0.0318581405,0.0263656373,0.0342690466,0.1364056661,0.2465861809,,,
10.4199218750,10.9199218750,0.5182655244,0.0219211363,0.0198490830,0.0405816406,0.1469953912,0.2697665078,,,
10.5195312500,11.0195312500,0.5128943369,0.0123856045,0.0137931234,0.0402221350,0.1420020769,0.2723610738,,,
10.6191406250,11.1191406250,0.4754361452,0.0086494784,0.0105021846,0.0342419534,0.1265343236,0.2676700578,,,
10.7187500000,11.2187500000,0.4100286955,0.0115653614,0.0106475585,0.0247103268,0.1103156794,0.2835736869,,,
10.8183593750,11.3183593750,0.3070066264,0.0165575195,0.0148874203,0.0149852443,0.0973386465,0.3271527602,,,
10.9179687500,11.4179687500,0.1906610658,0.0195343012,0.0230158544,0.0090423940,0.0852770221,0.3788317952,,,
11.0175781250,11.5175781250,0.1195734186,0.0205693259,0.0327639696,0.0073462142,0.0742326759,0.4149451959,,,
11.1171875000,11.6171875000,0.1388983368,0.0191894351,0.0402092519,0.0065315635,0.0659562396,0.4150907124,,,
11.2167968750,11.7167968750,0.2139498661,0.0153643470,0.0426569595,0.0055068113,0.0574956123,0.3661690639,,,
11.3164062500,11.8164062500,0.2739198032,0.0111090629,0.0396068891,0.0051420948,0.0463000192,0.2866051737,,,
11.4160156250,11.9160156250,0.2916674475,0.0083894219,0.0327110749,0.0048152818,0.0347119682,0.2211688913,,,
11.5156250000,12.0156250000,0.2714168530,0.0066366554,0.0239082773,0.0038556766,0.0273491349,0.1986139770,,,
11.6152343750,12.1152343750,0.2087225544,0.0061287736,0.0157552251,0.0040875035,0.0268580454,0.2196756873,,,
11.7148437500,12.2148437500,0.1154530672,0.0102435078,0.0098701273,0.0061300624,0.0348531167,0.2575950482,,,
11.8144531250,12.3144531250,0.0390299806,0.0233542599,0.0069464321,0.0078398373,0.0486376734,0.2784025249,,,
11.9140625000,12.4140625000,0.0149683231,0.0462010896,0.0067999414,0.0080218344,0.0598259178,0.2629318306,,,
12.0136718750,12.5136718750,0.0350805700,0.0747103156,0.0079605759,0.0080247696,0.0645137844,0.2161033649,,,
12.1132812500,12.6132812500,0.0833291538,0.1013557456,0.0085211053,0.0077541487,0.0639281313,0.1521272107,,,
12.2128906250,12.7128906250,0.1460860770,0.1180043881,0.0085100988,0.0063887587,0.0561436349,0.0985251711,,,
12.3125000000,12.8125000000,0.2011869252,0.1198821641,0.0084214564,0.0048220055,0.0409713612,0.0748586322,,,
12.4121093750,12.9121093750,0.2236143516,0.1064168147,0.0075729293,0.0045584045,0.0272152260,0.0752784635,,,
12.5117187500,13.0117187500,0.2090628119,0.0828603578,0.0060187494,0.0059986366,0.0208070594,0.0818001660,,,
12.6113281250,13.1113281250,0.1847877097,0.0584478007,0.0051198471,0.0087782368,0.0241787839,0.0882425833,,,
12.7109375000,13.2109375000,0.1803420576,0.0400108783,0.0065564026,0.0114634450,0.0433404087,0.1053926154,,,
12.8105468750,13.3105468750,0.2009163901,0.0279514997,0.0117721496,0.0122541857,0.0808235340,0.1506789551,,,
12.9101562500,13.4101562500,0.2338965523,0.0217751763,0.0223411749,0.0111703744,0.1288542023,0.2255693100,,,
13.0097656250,13.5097656250,0.2571731598,0.0203609849,0.0394183024,0.0090170107,0.1737604438,0.3039838441,,,
13.1093750000,13.6093750000,0.2461683875,0.0196895253,0.0598346249,0.0062760277,0.1990758486,0.3547136637,,,
13.2089843750,13.7089843750,0.2069631534,0.0164548903,0.0758466248,0.0044384577,0.1933358134,0.3625143154,,,
13.3085937500,13.8085937500,0.1795109846,0.0120997898,0.0807170900,0.0058392949,0.1607200440,0.3198978897,,,
13.4082031250,13.9082031250,0.1941699026,0.0085190743,0.0751469892,0.0105150448,0.1145207257,0.2371382680,,,
13.5078125000,14.0078125000,0.2307576853,0.0055075588,0.0619278939,0.0159588854,0.0700924384,0.1455585790,,,
