Time:6,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Event Id,Event Date,Event Duration
45.9218750000,46.4218750000,0.0560383099,0.0017575182,0.0459133784,0.0223812630,0.0779013942,0.1581860590,,,
46.0214843750,46.5214843750,0.0552404043,0.0031862266,0.0589722211,0.0232608405,0.0656006540,0.1300907580,,,
46.1210937500,46.6210937500,0.0456808291,0.0064647907,0.0618842102,0.0229190991,0.0533838918,0.1127244491,,,
46.2207031250,46.7207031250,0.0321240381,0.0122664173,0.0563313220,0.0211354022,0.0441579950,0.0937096239,,,
46.3203125000,46.8203125000,0.0260176369,0.0206617708,0.0446042143,0.0202192025,0.0351109985,0.0846926801,,,
46.4199218750,46.9199218750,0.0318650757,0.0293151614,0.0312261865,0.0208327443,0.0291573422,0.0861074286,,,
46.5195312500,47.0195312500,0.0436294519,0.0356385443,0.0245219957,0.0216308518,0.0298173803,0.0851704072,,,
46.6191406250,47.1191406250,0.0537535899,0.0384452092,0.0245915773,0.0223710867,0.0347314903,0.0941152031,,,
46.7187500000,47.2187500000,0.0564780983,0.0380300726,0.0268062483,0.0231958449,0.0410430091,0.1338432682,,,
46.8183593750,47.3183593750,0.0490472744,0.0360090506,0.0302585115,0.0237135051,0.0498906706,0.1951917321,,,
46.9179687500,47.4179687500,0.0342197899,0.0344224236,0.0343476820,0.0235789443,0.0666517648,0.2562834316,,,
47.0175781250,47.5175781250,0.0197557591,0.0336561646,0.0352496818,0.0231855277,0.0930564123,0.3114520167,,,
47.1171875000,47.6171875000,0.0132990793,0.0332410691,0.0331910474,0.0237628838,0.1191407164,0.3651644702,,,
47.2167968750,47.7167968750,0.0189860600,0.0328039208,0.0308779389,0.0265650837,0.1319583033,0.4175137156,,,
47.3164062500,47.8164062500,0.0332967349,0.0334853552,0.0289188470,0.0302966971,0.1273674500,0.4543687308,,,
47.4160156250,47.9160156250,0.0469046656,0.0383529601,0.0301677619,0.0325929061,0.1080210056,0.4662756104,,,
47.5156250000,48.0156250000,0.0528988779,0.0483495135,0.0404708026,0.0325125527,0.0794215169,0.4540642522,,,
47.6152343750,48.1152343750,0.0501308905,0.0580982323,0.0610178355,0.0309825110,0.0515904244,0.4084261094,,,
47.7148437500,48.2148437500,0.0411324979,0.0613917846,0.0825225230,0.0310207157,0.0319521603,0.3220819342,,,
47.8144531250,48.3144531250,0.0292259910,0.0581635722,0.0931668942,0.0364526471,0.0216314628,0.2222801913,,,
47.9140625000,48.4140625000,0.0206797088,0.0517527996,0.0914669841,0.0480613672,0.0178042841,0.1472455943,,,
48.0136718750,48.5136718750,0.0210137767,0.0441029017,0.0825333219,0.0619051955,0.0172541304,0.1047038703,,,
48.1132812500,48.6132812500,0.0265442969,0.0372127860,0.0709186425,0.0709936935,0.0166071424,0.0822217783,,,
48.2128906250,48.7128906250,0.0286987365,0.0340413927,0.0624031941,0.0707589098,0.0150699355,0.0771456908,,,
48.3125000000,48.8125000000,0.0273293153,0.0371801967,0.0608517857,0.0619767958,0.0138409132,0.0976022514,,,
48.4121093750,48.9121093750,0.0264276905,0.0475529094,0.0606191797,0.0483572120,0.0118790982,0.1499341295,,,
48.5117187500,49.0117187500,0.0255328750,0.0621879933,0.0563755121,0.0337446931,0.0079170171,0.2320006501,,,
48.6113281250,49.1113281250,0.0257214055,0.0750645711,0.0490385282,0.0221118486,0.0051671718,0.3258845105,,,
48.7109375000,49.2109375000,0.0288571879,0.0813087195,0.0396013609,0.0155295526,0.0087659951,0.3884456089,,,
48.8105468750,49.3105468750,0.0304897013,0.0784859205,0.0310491248,0.0123783782,0.0191904735,0.3905782877,,,
48.9101562500,49.4101562500,0.0264128471,0.0656135834,0.0284277570,0.0104207416,0.0334468007,0.3465649526,,,
49.0097656250,49.5097656250,0.0186718141,0.0453564796,0.0333542949,0.0088595345,0.0465542916,0.2866708972,,,
49.1093750000,49.6093750000,0.0111099673,0.0263374327,0.0450075536,0.0073206500,0.0558890987,0.2329784087,,,
49.2089843750,49.7089843750,0.0073653087,0.0161632497,0.0622907462,0.0058564911,0.0598717303,0.2089683152,,,
49.3085937500,49.8085937500,0.0101780030,0.0143488510,0.0791863587,0.0044953287,0.0553782662,0.2188552301,,,
49.4082031250,49.9082031250,0.0188454402,0.0147200622,0.0881263556,0.0028090990,0.0431445166,0.2274831591,,,
49.5078125000,50.0078125000,0.0287088435,0.0130460886,0.0852855963,0.0012184589,0.0303027565,0.2122115680,,,
49.6074218750,50.1074218750,0.0353255242,0.0097315720,0.0721550840,0.0008813371,0.0247195274,0.2052064181,,,
49.7070312500,50.2070312500,0.0369618672,0.0102720547,0.0514953239,0.0021099578,0.0288764720,0.2606929502,,,
49.8066406250,50.3066406250,0.0330337593,0.0189828149,0.0324292220,0.0048148705,0.0395911558,0.3784663596,,,
49.9062500000,50.4062500000,0.0242754106,0.0335865492,0.0289532849,0.0085569413,0.0508787563,0.4994071352,,,
50.0058593750,50.5058593750,0.0146814771,0.0491827908,0.0458968241,0.0119480072,0.0570087242,0.5774389674,,,
50.1054687500,50.6054687500,0.0088290698,0.0630028291,0.0725534567,0.0134799480,0.0534027532,0.5956707227,,,
50.2050781250,50.7050781250,0.0072762486,0.0733393497,0.0934009493,0.0126652538,0.0398239703,0.5520855307,,,
50.3046875000,50.8046875000,0.0084300313,0.0786585829,0.0982944143,0.0097577070,0.0236454733,0.4540072436,,,
50.4042968750,50.9042968750,0.0103701993,0.0803992288,0.0901649485,0.0061289943,0.0121162223,0.3299893356,,,
50.5039062500,51.0039062500,0.0110637611,0.0804124844,0.0852123315,0.0040243410,0.0070664397,0.2195748322,,,
50.6035156250,51.1035156250,0.0094185916,0.0781026154,0.0951342220,0.0038707102,0.0059628512,0.1483593302,,,
50.7031250000,51.2031250000,0.0070648553,0.0720399462,0.1150562351,0.0040681175,0.0058794896,0.1090270344,,,
50.8027343750,51.3027343750,0.0075877257,0.0603496312,0.1340571019,0.0041706962,0.0052920586,0.0867749423,,,
50.9023437500,51.4023437500,0.0135835281,0.0435317062,0.1397588848,0.0043010255,0.0047274411,0.0753537599,,,
51.0019531250,51.5019531250,0.0249953947,0.0275472473,0.1237783743,0.0040282030,0.0069686403,0.0657038024,,,
51.1015625000,51.6015625000,0.0390483474,0.0192461453,0.0944537306,0.0037286386,0.0141698338,0.0545428380,,,
51.2011718750,51.7011718750,0.0526330687,0.0185903854,0.0683596529,0.0038361609,0.0239948228,0.0528846208,,,
51.3007812500,51.8007812500,0.0621291544,0.0230422850,0.0557175648,0.0038054216,0.0304789258,0.0703829879,,,
51.4003906250,51.9003906250,0.0641562419,0.0302417907,0.0658647802,0.0041720439,0.0309936633,0.0933554652,,,
51.5000000000,52.0000000000,0.0570158927,0.0372629241,0.1015211224,0.0067469896,0.0276734616,0.1060907046,,,
51.5996093750,52.0996093750,0.0437117167,0.0408330063,0.1455177490,0.0128015202,0.0239774816,0.1091963040,,,
51.6992187500,52.1992187500,0.0317142129,0.0392269898,0.1843881981,0.0221207928,0.0237306178,0.1020656703,,,
51.7988281250,52.2988281250,0.0295077898,0.0335366255,0.2151057204,0.0329786965,0.0315803380,0.0802945653,,,
51.8984375000,52.3984375000,0.0368326885,0.0263386512,0.2320118943,0.0433777614,0.0515956596,0.0583620041,,,
51.9980468750,52.4980468750,0.0447431625,0.0193148566,0.2317290188,0.0497811583,0.0841103246,0.0567305417,,,
52.0976562500,52.5976562500,0.0480079386,0.0138920671,0.2197252291,0.0487078694,0.1188139475,0.0687640905,,,
52.1972656250,52.6972656250,0.0472507342,0.0126684917,0.2009002766,0.0408595081,0.1416917826,0.0793418332,,,
52.2968750000,52.7968750000,0.0428324504,0.0166421137,0.1775699653,0.0302500822,0.1468334677,0.0834580108,,,
52.3964843750,52.8964843750,0.0395723746,0.0244366495,0.1521380238,0.0202460175,0.1350912369,0.0859994934,,,
69.9218750000,70.4218750000,0.1217113858,0.0139484167,0.0280251787,0.0184586816,0.0248862436,0.3165730848,,,
70.0214843750,70.5214843750,0.0984773290,0.0293075079,0.0189023214,0.0230407664,0.0152822444,0.3434506374,,,
70.1210937500,70.6210937500,0.0682546918,0.0519390266,0.0184245234,0.0282778605,0.0077612579,0.3296986483,,,
70.2207031250,70.7207031250,0.0427877927,0.0862159270,0.0367365088,0.0310974111,0.0053969496,0.2855221545,,,
70.3203125000,70.8203125000,0.0318566552,0.1308054633,0.0702454892,0.0300395486,0.0072489445,0.2326664287,,,
70.4199218750,70.9199218750,0.0332027806,0.1759633633,0.1053978836,0.0259856279,0.0101237001,0.1860123390,,,
70.5195312500,71.0195312500,0.0383946176,0.2097715527,0.1276824676,0.0227604700,0.0116079131,0.1531505501,,,
70.6191406250,71.1191406250,0.0420959003,0.2237190400,0.1303625490,0.0219537125,0.0115716865,0.1287583087,,,
70.7187500000,71.2187500000,0.0414943195,0.2123941859,0.1138797638,0.0211730262,0.0125440943,0.1027833374,,,
70.8183593750,71.3183593750,0.0347742250,0.1766253732,0.0833502846,0.0203584495,0.0160962552,0.0749418792,,,
70.9179687500,71.4179687500,0.0261871682,0.1257602712,0.0541054338,0.0209103640,0.0214971379,0.0571134452,,,
71.0175781250,71.5175781250,0.0214255445,0.0753265940,0.0425854147,0.0223125166,0.0305733320,0.0582380526,,,
71.1171875000,71.6171875000,0.0189745091,0.0385971359,0.0464238326,0.0252168871,0.0431913532,0.0849780609,,,
71.2167968750,71.7167968750,0.0160365348,0.0210063609,0.0517091834,0.0316858708,0.0530281307,0.1325777973,,,
71.3164062500,71.8164062500,0.0148805781,0.0220145052,0.0530936226,0.0405877212,0.0540947762,0.1757133788,,,
71.4160156250,71.9160156250,0.0178939235,0.0348903766,0.0474043132,0.0479494617,0.0483880294,0.1919747622,,,
71.5156250000,72.0156250000,0.0222836830,0.0489274033,0.0344375102,0.0517681362,0.0392576208,0.1771428984,,,
71.6152343750,72.1152343750,0.0272271265,0.0578202362,0.0213268783,0.0509824522,0.0296287183,0.1386428483,,,
71.7148437500,72.2148437500,0.0325125251,0.0609624508,0.0132480753,0.0453814118,0.0239044930,0.0896675722,,,
71.8144531250,72.3144531250,0.0361850720,0.0582475459,0.0091378961,0.0367000529,0.0245892974,0.0477382047,,,
71.9140625000,72.4140625000,0.0389735632,0.0489780888,0.0101960620,0.0285929653,0.0296790558,0.0231555559,,,
72.0136718750,72.5136718750,0.0424349450,0.0365133471,0.0127971425,0.0232002561,0.0340063642,0.0182807646,,,
72.1132812500,72.6132812500,0.0457649351,0.0257515206,0.0117193260,0.0205329456,0.0327850029,0.0452632014,,,
72.2128906250,72.7128906250,0.0485995419,0.0176888821,0.0101938520,0.0197587645,0.0263475128,0.1272542164,,,
72.3125000000,72.8125000000,0.0533383460,0.0121594030,0.0119553922,0.0192885584,0.0217055439,0.2666942251,,,
72.4121093750,72.9121093750,0.0629136487,0.0107312715,0.0144296397,0.0184244272,0.0224592624,0.4188834626,,,
72.5117187500,73.0117187500,0.0754682727,0.0146138243,0.0177801260,0.0187197916,0.0271138386,0.5384265269,,,
72.6113281250,73.1113281250,0.0880908720,0.0234967230,0.0265499564,0.0226647961,0.0342341605,0.5981047849,,,
72.7109375000,73.2109375000,0.0998084670,0.0366012255,0.0415769612,0.0308969488,0.0423358533,0.5838432550,,,
72.8105468750,73.3105468750,0.1064948049,0.0518726126,0.0562633511,0.0403220544,0.0456120037,0.4993566356,,,
72.9101562500,73.4101562500,0.0989692426,0.0648656979,0.0642563603,0.0460603370,0.0419168075,0.3781847489,,,
73.0097656250,73.5097656250,0.0792147015,0.0717981728,0.0652994911,0.0453997759,0.0363697832,0.2723986586,,,
73.1093750000,73.6093750000,0.0582520903,0.0714036342,0.0588293521,0.0385960263,0.0344061120,0.2252658223,,,
73.2089843750,73.7089843750,0.0402906257,0.0626047591,0.0442483879,0.0277688008,0.0364759270,0.2449101364,,,
73.3085937500,73.8085937500,0.0248839242,0.0475079645,0.0275584682,0.0168268329,0.0400799346,0.3013751265,,,
73.4082031250,73.9082031250,0.0161818648,0.0328205981,0.0153782347,0.0099289981,0.0404975211,0.3553975075,,,
73.5078125000,74.0078125000,0.0137890764,0.0231772188,0.0078570705,0.0076069212,0.0360670185,0.3798723634,,,
73.6074218750,74.1074218750,0.0115628380,0.0175770253,0.0036171793,0.0074407653,0.0303899813,0.3696358968,,,
73.7070312500,74.2070312500,0.0070357797,0.0152604865,0.0025882205,0.0079621627,0.0280157465,0.3276130015,,,
73.8066406250,74.3066406250,0.0033486369,0.0152636843,0.0029319513,0.0106289409,0.0321598711,0.2581039322,,,
73.9062500000,74.4062500000,0.0023216056,0.0149731056,0.0044069513,0.0152462514,0.0430132184,0.1748561623,,,
74.0058593750,74.5058593750,0.0038430625,0.0147891739,0.0125641079,0.0188783946,0.0546651401,0.1057885687,,,
74.1054687500,74.6054687500,0.0092923035,0.0189752679,0.0376704435,0.0205061916,0.0629192687,0.0796014399,,,
74.2050781250,74.7050781250,0.0227734981,0.0304046433,0.0818695581,0.0203105102,0.0686868586,0.1090499463,,,
74.3046875000,74.8046875000,0.0440189653,0.0474962999,0.1288914043,0.0183632282,0.0737149884,0.1695873258,,,
74.4042968750,74.9042968750,0.0673367746,0.0669105680,0.1583888947,0.0178376430,0.0777912619,0.2213986125,,,
74.5039062500,75.0039062500,0.0888773365,0.0843335915,0.1627653914,0.0242546958,0.0794086189,0.2437071932,,,
74.6035156250,75.1035156250,0.1023035234,0.0939051656,0.1452683887,0.0376238928,0.0749086655,0.2347346561,,,
74.7031250000,75.2031250000,0.0992652741,0.0903483665,0.1122407352,0.0505383570,0.0621467309,0.1944713306,,,
74.8027343750,75.3027343750,0.0815560988,0.0743155104,0.0779952195,0.0569379734,0.0436625449,0.1396369602,,,
74.9023437500,75.4023437500,0.0581729693,0.0539806287,0.0608593980,0.0554437921,0.0268914210,0.1050787471,,,
75.0019531250,75.5019531250,0.0352505596,0.0390168039,0.0633663872,0.0471210265,0.0190831156,0.1123463934,,,
75.1015625000,75.6015625000,0.0185425864,0.0320652057,0.0703478048,0.0347543245,0.0207375381,0.1618585333,,,
75.2011718750,75.7011718750,0.0127151569,0.0315149625,0.0694661793,0.0236809605,0.0269111949,0.2439849165,,,
75.3007812500,75.8007812500,0.0143411081,0.0357455957,0.0615098497,0.0167394919,0.0312650010,0.3249942116,,,
75.4003906250,75.9003906250,0.0181461569,0.0412085248,0.0504197687,0.0126086059,0.0295466366,0.3691811882,,,
75.5000000000,76.0000000000,0.0211683414,0.0432379317,0.0382618815,0.0091110856,0.0235967541,0.3713355782,,,
75.5996093750,76.0996093750,0.0213263479,0.0419543036,0.0281765693,0.0060322470,0.0247655366,0.3428164379,,,
